mean_absolute_error,mean_square_error,root_mean_square_error,indexes_of_errors,percent_correct
33.09375,5063.15625,71.15585885926752,"[1, 3, 5, 7, 9, 11, 13, 15, 17, 19, 21, 23, 25, 27, 28, 29, 31]",46.875
1.78125,22.40625,4.733524057190372,"[1, 5, 7, 9, 11, 12, 13]",78.125
4.46875,90.71875,9.52463910077437,"[3, 5, 7, 9, 11, 13, 15, 17, 18]",71.875
2.46875,37.34375,6.1109532807901585,"[1, 3, 5, 7, 8, 9, 10, 11, 12, 13]",68.75
2.0625,19.6875,4.437059837324712,"[1, 3, 5, 6, 7, 8, 9, 11, 12]",71.875
4.46875,161.40625,12.704575947271913,"[1, 3, 5, 7, 9, 11, 13, 15, 17, 18]",68.75
3.84375,62.46875,7.903717479768618,"[1, 3, 5, 7, 9, 11, 13, 15, 17, 18]",68.75
5.09375,136.53125,11.684658745551793,"[1, 3, 5, 7, 9, 11, 13, 15, 16]",71.875
2.1875,35.125,5.926634795564849,"[1, 3, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15]",62.5
6.8125,362.8125,19.047637648800443,"[0, 1, 2, 3, 5, 7, 9, 11, 12, 13, 14]",65.625
5.90625,169.21875,13.008410740747696,"[1, 3, 5, 7, 9, 11, 13, 15, 16, 17, 18]",65.625
3.625,65.5,8.093207028119323,"[1, 3, 5, 6, 7, 9, 11, 13, 14, 15]",68.75
1.6875,14.5,3.8078865529319543,"[0, 1, 2, 3, 5, 7, 9, 11, 12, 13, 14]",65.625
2.1875,32.125,5.667892024377317,"[1, 3, 5, 7, 8, 9, 10, 11, 12, 13]",68.75
6.125,217.9375,14.762706391444626,"[1, 3, 5, 7, 9, 11, 13, 15, 17, 19, 20]",65.625
4.625,113.375,10.647769719523428,"[1, 3, 5, 7, 9, 11, 13, 15, 16, 17]",68.75
7.0,243.0,15.588457268119896,"[1, 3, 5, 7, 9, 11, 13, 15, 16, 17, 18, 19, 20, 21]",56.25
9.65625,397.65625,19.94132016692977,"[1, 3, 5, 7, 9, 11, 13, 15, 17, 19, 21, 22]",62.5
2.9375,77.3125,8.792752697534487,"[1, 3, 5, 7, 9, 11, 13, 17, 19, 20]",68.75
1.4375,9.5625,3.092329219213245,"[1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",65.625
2.40625,29.78125,5.457219988235768,"[1, 3, 5, 7, 9, 10, 11, 12, 13, 14, 15]",65.625
13.71875,1491.34375,38.617920063100236,"[1, 3, 5, 7, 9, 11, 13, 15, 17, 19, 21, 22, 23]",59.375
1.34375,10.34375,3.2161700825671518,"[1, 3, 5, 7, 9, 10, 11, 12, 13]",71.875
1.625,18.1875,4.264680527307995,"[1, 3, 5, 7, 9, 11, 12, 13]",75.0
4.5,126.4375,11.24444307202451,"[1, 2, 3, 5, 7, 9, 11, 13, 14]",71.875
2.65625,44.65625,6.68253320231183,"[1, 3, 5, 7, 9, 12, 13, 14, 15]",71.875
1.125,9.4375,3.072051431861127,"[1, 2, 3, 5, 7, 9, 10, 11]",75.0
2.25,30.4375,5.5170191226784775,"[1, 3, 5, 7, 9, 11, 13, 15, 16, 17]",68.75
2.9375,69.0625,8.31038506929733,"[1, 3, 5, 7, 11, 13, 15, 16, 17]",71.875
15.03125,1054.46875,32.47258459069743,"[1, 3, 5, 7, 9, 11, 13, 15, 17, 19, 21, 23, 24]",59.375
7.90625,280.84375,16.758393419418223,"[1, 3, 5, 7, 9, 11, 13, 15, 16, 18, 19, 20]",62.5
7.0625,228.3125,15.110013236261576,"[1, 3, 5, 7, 9, 11, 13, 15, 17, 19, 20]",65.625
2.375,36.4375,6.036348233824818,"[1, 3, 7, 9, 10, 11, 12, 13]",75.0
2.21875,24.28125,4.927600836106756,"[1, 3, 5, 7, 8, 9, 11, 12, 13, 14]",68.75
1.84375,17.28125,4.1570722870789725,"[1, 3, 5, 7, 9, 11, 13, 15, 16]",71.875
2.8125,42.125,6.490377492873585,"[3, 5, 7, 9, 11, 13, 15, 17, 18]",71.875
3.8125,103.875,10.191908555319754,"[1, 3, 5, 7, 9, 11, 13, 14, 15]",71.875
3.25,95.5625,9.775607398008576,"[3, 5, 7, 9, 11, 13, 15, 17, 18]",71.875
5.40625,144.28125,12.011713033535225,"[1, 3, 5, 7, 9, 11, 13, 15, 17, 19, 20]",65.625
47.84375,19244.15625,138.7233082434239,"[0, 1, 3, 5, 7, 9, 11, 12, 13, 14]",68.75
2.09375,27.15625,5.211165896418958,"[1, 3, 5, 7, 9, 10, 11, 12, 13]",71.875
2.4375,33.25,5.766281297335398,"[1, 3, 5, 7, 9, 11, 12, 13, 14, 15]",68.75
2.75,46.1875,6.796138609534093,"[1, 3, 5, 7, 9, 11, 12, 13, 14, 15]",68.75
3.0,63.125,7.945124291035352,"[1, 3, 5, 7, 9, 11, 13, 15, 16]",71.875
1.0,7.1875,2.680951323690902,"[1, 3, 5, 7, 8, 9, 10, 11, 12, 13]",68.75
3.1875,46.75,6.837397165588672,"[1, 3, 5, 7, 9, 11, 13, 15, 17, 18, 19]",65.625
2.84375,47.84375,6.9169176661284615,"[1, 3, 4, 5, 7, 9, 11, 13, 14]",71.875
3.90625,96.15625,9.805929328727593,"[1, 3, 5, 7, 8, 9, 11, 13, 14, 15]",68.75
0.9375,4.4375,2.1065374432940898,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",71.875
8.21875,416.28125,20.40297159729435,"[1, 3, 5, 7, 9, 11, 13, 15, 17, 19, 21, 22]",62.5
2.71875,50.59375,7.112928370228397,"[1, 3, 5, 7, 9, 11, 12, 13, 14, 15]",68.75
6.34375,245.03125,15.65347405530159,"[1, 5, 7, 9, 11, 13, 15, 16, 17, 18, 19]",65.625
1.375,10.125,3.181980515339464,"[1, 3, 5, 7, 8, 9, 11, 14]",75.0
1.71875,15.59375,3.9488922497328285,"[1, 3, 5, 7, 9, 11, 12, 13, 15, 16, 17, 18]",62.5
1.6875,26.875,5.18411033833193,"[1, 3, 5, 7, 9, 11, 13, 14, 15]",71.875
5.0,170.1875,13.045593125649749,"[1, 3, 5, 7, 9, 11, 13, 15, 17, 19, 20]",65.625
6.125,169.4375,13.016816046944813,"[1, 3, 5, 7, 9, 11, 13, 15, 17, 19, 20]",65.625
3.75,99.375,9.968701018688442,"[1, 3, 5, 6, 7, 9, 11, 13, 14, 15, 16]",65.625
2.78125,33.90625,5.822907349426058,"[1, 3, 5, 7, 9, 11, 13, 15, 17, 18]",68.75
5.65625,132.53125,11.512221766453251,"[1, 3, 5, 7, 9, 11, 13, 14, 15, 16, 17, 18, 19, 20, 21]",53.125
3.375,57.1875,7.562241731127087,"[1, 3, 5, 7, 9, 11, 13, 15, 16, 17, 18, 19]",62.5
4.71875,267.78125,16.364023038360706,"[1, 3, 5, 7, 8, 9, 10, 11, 12, 13]",68.75
2.53125,32.78125,5.725491245299393,"[1, 3, 5, 7, 9, 10, 11, 13, 15, 17, 18]",65.625
4.0,99.9375,9.996874511566103,"[1, 3, 4, 5, 7, 9, 11, 13, 14]",71.875
4.53125,122.34375,11.06091090281447,"[1, 3, 5, 7, 9, 11, 13, 15, 17, 18]",68.75
4.59375,131.03125,11.446888223443086,"[1, 3, 5, 7, 9, 11, 13, 14, 15, 16, 17]",65.625
2.1875,37.5625,6.128825336065631,"[0, 1, 2, 3, 5, 7, 9, 11, 12]",71.875
4.59375,129.96875,11.400383765470353,"[1, 3, 5, 7, 9, 11, 13, 14, 15, 16, 17]",65.625
6.6875,245.25,15.660459763365825,"[0, 1, 2, 3, 4, 5, 7, 9, 11, 13, 15, 17, 18]",59.375
1.9375,22.1875,4.710360920354193,"[1, 3, 4, 5, 7, 9, 11, 12, 13]",71.875
3.03125,69.71875,8.349775446082367,"[1, 3, 5, 7, 9, 11, 13, 14, 15]",71.875
8.5,334.0,18.275666882497067,"[1, 3, 5, 7, 9, 11, 13, 15, 17, 19, 21, 22]",62.5
1.96875,17.59375,4.194490433890629,"[1, 3, 5, 7, 9, 11, 13, 14, 15, 16, 17]",65.625
6.90625,307.21875,17.527656717313928,"[1, 2, 3, 5, 7, 9, 11, 13, 15, 16, 17, 18]",62.5
14.21875,1084.28125,32.928426169496774,"[1, 3, 5, 7, 9, 11, 13, 15, 17, 19, 21, 22]",62.5
6.9375,295.75,17.19738352191984,"[1, 3, 5, 7, 9, 11, 13, 15, 16, 17]",68.75
3.5625,113.3125,10.644834428021884,"[1, 3, 5, 7, 9, 11, 13, 15, 17, 18]",68.75
29.09375,4118.34375,64.17432313628247,"[1, 3, 5, 7, 9, 11, 13, 15, 17, 19, 21, 23, 24, 25, 26, 27, 28]",46.875
5.5625,134.0625,11.578536176909411,"[1, 3, 5, 7, 9, 11, 13, 15, 16, 17, 18, 19]",62.5
1.28125,14.21875,3.770775782249589,"[1, 3, 5, 7, 9, 12]",81.25
3.53125,107.09375,10.348611017909601,"[1, 3, 5, 7, 9, 11, 12, 13, 14, 15]",68.75
4.96875,103.65625,10.181171347148618,"[1, 5, 7, 9, 11, 13, 15, 17, 19, 20]",68.75
1.84375,22.96875,4.792572378170203,"[1, 2, 3, 5, 7, 9, 11, 12]",75.0
3.15625,67.78125,8.232936900037556,"[1, 3, 5, 7, 9, 11, 13, 15, 16]",71.875
4.0625,128.5625,11.338540470448567,"[1, 3, 5, 7, 9, 11, 13, 15, 17, 18]",68.75
3.65625,61.90625,7.8680524909281075,"[1, 3, 5, 7, 9, 11, 13, 14, 15, 16, 17]",65.625
4.1875,86.75,9.313968005098578,"[1, 3, 5, 7, 9, 11, 13, 15, 16, 17, 18]",65.625
4.28125,65.71875,8.10671018354548,"[1, 3, 5, 7, 9, 11, 13, 15, 17, 19, 20]",65.625
4.125,92.0625,9.594920531197744,"[1, 3, 5, 7, 8, 9, 11, 13, 15, 16]",68.75
3.625,60.9375,7.806247497997997,"[1, 3, 5, 7, 9, 11, 13, 15, 16, 17]",68.75
4.75,125.1875,11.188722000300123,"[1, 3, 5, 7, 9, 11, 13, 14, 15, 16]",68.75
4.65625,195.09375,13.967596428877805,"[1, 2, 3, 5, 7, 9, 11, 12]",75.0
5.0,144.4375,12.018215341721914,"[3, 5, 7, 9, 11, 13, 15, 16, 17, 18, 19, 20]",62.5
2.15625,27.40625,5.235097897842981,"[1, 3, 5, 7, 8, 9, 10, 11, 12, 13]",68.75
5.8125,219.5625,14.817641512737444,"[1, 2, 3, 5, 7, 9, 11, 12, 13, 14, 15]",65.625
1.75,20.8125,4.562071897723665,"[1, 3, 5, 7, 9, 11, 13, 14]",75.0
3.03125,54.46875,7.380294709562755,"[1, 3, 5, 7, 9, 11, 13, 14, 15]",71.875
4.03125,97.09375,9.853616087508179,"[1, 3, 5, 7, 9, 10, 11, 13, 14, 15, 16, 17]",62.5
9.125,508.0,22.538855339169288,"[1, 3, 5, 7, 9, 11, 13, 15, 17, 18]",68.75
3.875,74.75,8.645808232895291,"[1, 3, 4, 5, 6, 7, 8, 9, 11, 13, 14, 15, 16, 17]",56.25
2.71875,31.96875,5.654091438949321,"[1, 3, 5, 7, 9, 11, 13, 15, 16]",71.875
5.8125,256.1875,16.005858302509115,"[1, 3, 5, 9, 11, 13, 15, 16, 17, 18, 19]",65.625
1.90625,23.28125,4.8250647664046955,"[1, 3, 5, 6, 7, 8, 9, 10, 11]",71.875
4.75,123.9375,11.13272203910616,"[1, 3, 5, 7, 9, 10, 11, 12, 13, 14, 15]",65.625
7.125,254.625,15.956973397232948,"[1, 3, 5, 7, 9, 11, 13, 15, 17, 18]",68.75
15.625,1160.6875,34.06886408438062,"[1, 3, 5, 7, 9, 11, 13, 15, 17, 19, 21, 23, 25, 26]",56.25
3.09375,52.09375,7.217600016626025,"[1, 3, 5, 7, 9, 13, 14, 15, 16]",71.875
2.8125,50.5,7.106335201775948,"[1, 3, 5, 6, 7, 9, 11, 12, 13]",71.875
5.25,153.1875,12.376893794486563,"[1, 3, 5, 7, 9, 11, 12, 13, 14, 15, 16, 17]",62.5
2.75,41.625,6.45174395028197,"[1, 3, 5, 7, 9, 11, 15, 16]",75.0
9.09375,298.09375,17.265391683943925,"[1, 2, 3, 5, 7, 9, 11, 13, 15, 17, 19, 20]",62.5
