mean_absolute_error,mean_square_error,root_mean_square_error,indexes_of_errors,percent_correct
7.46875,516.34375,22.723198498450873,"[0, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 28, 30]",53.125
0.03125,0.03125,0.1767766952966369,[8],96.875
0.125,0.125,0.3535533905932738,"[6, 10, 12, 14]",87.5
0.0625,0.0625,0.25,"[0, 12]",93.75
0.0625,0.125,0.3535533905932738,[4],96.875
0.1875,0.1875,0.4330127018922193,"[0, 2, 4, 6, 10, 16]",81.25
0.0625,0.0625,0.25,"[4, 10]",93.75
0.0625,0.0625,0.25,"[0, 2]",93.75
0.125,0.125,0.3535533905932738,"[2, 4, 11, 13]",87.5
0.0,0.0,0.0,[],100.0
0.0,0.0,0.0,[],100.0
0.09375,0.09375,0.30618621784789724,"[4, 8, 12]",90.625
0.0,0.0,0.0,[],100.0
0.0,0.0,0.0,[],100.0
0.09375,0.09375,0.30618621784789724,"[0, 12, 14]",90.625
0.0625,0.0625,0.25,"[0, 14]",93.75
0.125,0.125,0.3535533905932738,"[0, 6, 12, 14]",87.5
0.53125,3.40625,1.845602882529175,"[4, 10, 12, 14, 16, 18, 20]",78.125
0.0625,0.0625,0.25,"[4, 16]",93.75
0.09375,0.09375,0.30618621784789724,"[4, 8, 10]",90.625
0.0,0.0,0.0,[],100.0
0.125,0.125,0.3535533905932738,"[0, 8, 10, 16]",87.5
0.0,0.0,0.0,[],100.0
0.0625,0.0625,0.25,"[0, 2]",93.75
0.03125,0.03125,0.1767766952966369,[2],96.875
0.03125,0.03125,0.1767766952966369,[6],96.875
0.09375,0.09375,0.30618621784789724,"[4, 6, 8]",90.625
0.09375,0.09375,0.30618621784789724,"[4, 6, 10]",90.625
0.09375,0.09375,0.30618621784789724,"[4, 10, 14]",90.625
0.125,0.1875,0.4330127018922193,"[4, 6, 10]",90.625
0.1875,0.1875,0.4330127018922193,"[0, 4, 8, 10, 14, 16]",81.25
0.03125,0.03125,0.1767766952966369,[0],96.875
0.0625,0.0625,0.25,"[10, 12]",93.75
0.03125,0.03125,0.1767766952966369,[2],96.875
0.03125,0.03125,0.1767766952966369,[8],96.875
0.125,0.125,0.3535533905932738,"[0, 2, 10, 16]",87.5
0.03125,0.03125,0.1767766952966369,[0],96.875
0.03125,0.03125,0.1767766952966369,[6],96.875
0.09375,0.15625,0.39528470752104744,"[0, 10]",93.75
0.375,2.125,1.4577379737113252,"[0, 2, 4, 6, 8]",84.375
0.0625,0.0625,0.25,"[0, 2]",93.75
0.0,0.0,0.0,[],100.0
0.0625,0.0625,0.25,"[6, 12]",93.75
0.0625,0.0625,0.25,"[4, 10]",93.75
0.03125,0.03125,0.1767766952966369,[8],96.875
0.09375,0.09375,0.30618621784789724,"[2, 4, 16]",90.625
0.03125,0.03125,0.1767766952966369,[8],96.875
0.0,0.0,0.0,[],100.0
0.0,0.0,0.0,[],100.0
0.15625,0.15625,0.39528470752104744,"[0, 10, 12, 16, 20]",84.375
0.03125,0.03125,0.1767766952966369,[0],96.875
0.1875,0.1875,0.4330127018922193,"[0, 2, 4, 8, 14, 16]",81.25
0.03125,0.03125,0.1767766952966369,[2],96.875
0.0625,0.0625,0.25,"[4, 6]",93.75
0.03125,0.03125,0.1767766952966369,[4],96.875
0.0625,0.0625,0.25,"[2, 14]",93.75
0.125,0.125,0.3535533905932738,"[0, 2, 4, 8]",87.5
0.0625,0.0625,0.25,"[2, 6]",93.75
0.15625,0.15625,0.39528470752104744,"[8, 10, 12, 14, 16]",84.375
0.21875,0.21875,0.46770717334674267,"[2, 4, 12, 16, 18, 19, 20]",78.125
0.03125,0.03125,0.1767766952966369,[16],96.875
0.03125,0.03125,0.1767766952966369,[0],96.875
0.09375,0.09375,0.30618621784789724,"[2, 6, 10]",90.625
0.09375,0.09375,0.30618621784789724,"[0, 8, 10]",90.625
0.09375,0.09375,0.30618621784789724,"[6, 10, 14]",90.625
0.0625,0.0625,0.25,"[0, 8]",93.75
0.0,0.0,0.0,[],100.0
0.09375,0.09375,0.30618621784789724,"[2, 6, 8]",90.625
0.125,0.125,0.3535533905932738,"[0, 10, 14, 16]",87.5
0.0625,0.0625,0.25,"[0, 8]",93.75
0.125,0.125,0.3535533905932738,"[0, 2, 4, 8]",87.5
0.125,0.1875,0.4330127018922193,"[10, 18, 20]",90.625
0.03125,0.03125,0.1767766952966369,[4],96.875
0.125,0.125,0.3535533905932738,"[2, 4, 6, 10]",87.5
0.15625,0.15625,0.39528470752104744,"[0, 4, 12, 18, 20]",84.375
0.0625,0.0625,0.25,"[2, 16]",93.75
0.09375,0.09375,0.30618621784789724,"[4, 6, 14]",90.625
2.375,166.6875,12.910751333675357,"[2, 12, 26]",90.625
0.125,0.125,0.3535533905932738,"[4, 6, 12, 18]",87.5
0.0625,0.0625,0.25,"[4, 8]",93.75
0.03125,0.03125,0.1767766952966369,[2],96.875
0.09375,0.09375,0.30618621784789724,"[2, 6, 14]",90.625
0.09375,0.09375,0.30618621784789724,"[2, 8, 10]",90.625
0.03125,0.03125,0.1767766952966369,[2],96.875
0.09375,0.09375,0.30618621784789724,"[8, 10, 14]",90.625
0.0625,0.0625,0.25,"[2, 16]",93.75
0.0625,0.0625,0.25,"[4, 6]",93.75
0.09375,0.09375,0.30618621784789724,"[2, 14, 18]",90.625
0.09375,0.09375,0.30618621784789724,"[2, 4, 14]",90.625
0.1875,0.1875,0.4330127018922193,"[0, 4, 8, 12, 14, 16]",81.25
0.03125,0.03125,0.1767766952966369,[4],96.875
0.03125,0.03125,0.1767766952966369,[2],96.875
0.09375,0.09375,0.30618621784789724,"[4, 12, 14]",90.625
0.0625,0.0625,0.25,"[2, 6]",93.75
0.03125,0.03125,0.1767766952966369,[12],96.875
0.03125,0.03125,0.1767766952966369,[8],96.875
0.0625,0.0625,0.25,"[2, 4]",93.75
0.03125,0.03125,0.1767766952966369,[16],96.875
0.03125,0.03125,0.1767766952966369,[4],96.875
0.125,0.125,0.3535533905932738,"[4, 6, 12, 15]",87.5
0.03125,0.03125,0.1767766952966369,[8],96.875
0.0625,0.0625,0.25,"[0, 12]",93.75
0.0625,0.0625,0.25,"[2, 8]",93.75
0.03125,0.03125,0.1767766952966369,[14],96.875
0.0625,0.0625,0.25,"[4, 6]",93.75
0.21875,0.21875,0.46770717334674267,"[2, 8, 10, 12, 14, 16, 22]",78.125
